"Defunciones mensuales de la C.A. de Euskadi por grandes grupos CIE-10, mes, tramo edad cumplida, sexo y periodo"

"grandes grupos CIE-10","mes","tramo edad cumplida","sexo","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","0","Mujeres",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","20 - 29","Hombres",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","30 - 39","Hombres",0,0,1,0,0,0,0,0,2,1,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","30 - 39","Mujeres",1,1,0,0,0,0,0,0,1,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","40 - 49","Hombres",0,0,0,0,0,0,0,0,0,1,1,0,0,1
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","40 - 49","Mujeres",1,0,1,0,0,0,0,0,0,0,1,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","50 - 59","Hombres",2,1,1,1,2,2,3,1,5,2,2,1,1,1
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","50 - 59","Mujeres",0,1,0,0,0,1,0,2,3,2,1,0,2,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","60 - 69","Hombres",5,7,8,5,4,8,4,6,5,7,5,6,1,5
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","60 - 69","Mujeres",1,1,1,3,2,3,3,4,4,4,1,4,1,1
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","70 - 79","Hombres",22,8,21,14,15,13,13,13,13,19,11,14,22,10
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","70 - 79","Mujeres",5,10,3,6,4,2,3,9,4,7,3,3,8,7
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","80 - 89","Hombres",25,33,34,39,39,32,28,51,47,50,21,32,18,20
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre","80 - 89","Mujeres",28,35,32,30,21,30,32,27,26,29,19,15,18,16
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre",">= 90","Hombres",14,24,15,26,11,14,24,22,27,12,13,19,14,21
"X. Enfermedades del sistema respiratorio (J00 - J99)","Noviembre",">= 90","Mujeres",19,24,28,21,30,37,33,42,34,27,19,31,35,32
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","1 - 9","Mujeres",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","20 - 29","Hombres",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","20 - 29","Mujeres",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","30 - 39","Hombres",0,0,0,1,0,0,0,0,1,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","40 - 49","Hombres",2,1,0,0,1,1,1,1,0,0,1,1,1,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","40 - 49","Mujeres",1,2,0,0,0,0,0,2,0,0,0,0,0,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","50 - 59","Hombres",1,2,6,4,1,2,1,5,7,4,1,1,0,2
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","50 - 59","Mujeres",2,3,0,1,1,3,1,1,1,2,2,3,1,0
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","60 - 69","Hombres",9,8,11,7,5,12,16,3,11,9,3,6,5,8
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","60 - 69","Mujeres",5,1,3,5,6,0,5,9,4,2,1,3,3,4
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","70 - 79","Hombres",28,24,26,20,20,16,25,20,14,16,11,19,22,25
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","70 - 79","Mujeres",6,10,9,9,12,7,13,9,12,9,1,5,4,11
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","80 - 89","Hombres",44,55,43,52,45,49,63,58,43,45,19,46,43,39
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre","80 - 89","Mujeres",51,37,44,45,44,42,48,33,39,30,15,31,36,43
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre",">= 90","Hombres",9,25,21,23,20,26,31,34,29,28,9,33,30,26
"X. Enfermedades del sistema respiratorio (J00 - J99)","Diciembre",">= 90","Mujeres",35,27,40,38,27,40,63,51,47,48,18,36,55,65
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","30 - 39","Hombres",0,2,0,0,0,0,0,0,0,1,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","40 - 49","Hombres",4,1,1,2,3,0,0,3,5,2,1,2,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","40 - 49","Mujeres",2,0,0,0,0,2,0,0,2,0,0,0,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","50 - 59","Hombres",6,5,11,5,9,10,3,6,3,4,5,5,3,6
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","50 - 59","Mujeres",4,1,3,1,2,1,2,4,0,0,0,2,0,3
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","60 - 69","Hombres",9,5,10,15,6,10,5,5,5,4,9,6,7,8
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","60 - 69","Mujeres",2,1,2,2,4,4,2,2,5,1,5,8,5,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","70 - 79","Hombres",18,10,9,8,13,8,8,12,13,6,15,10,12,14
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","70 - 79","Mujeres",9,7,5,8,4,9,3,3,9,14,3,6,9,5
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","80 - 89","Hombres",7,12,11,9,11,14,15,15,22,21,18,15,12,25
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero","80 - 89","Mujeres",14,24,16,16,13,20,17,23,21,18,18,16,23,14
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero",">= 90","Hombres",3,4,1,4,5,10,10,6,6,4,4,12,10,16
"XI. Enfermedades del sistema digestivo (K00 - K93)","Enero",">= 90","Mujeres",8,4,16,9,8,14,5,20,21,18,13,20,12,23
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","0","Mujeres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","30 - 39","Mujeres",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","40 - 49","Hombres",5,2,1,0,0,1,0,1,1,2,1,1,2,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","40 - 49","Mujeres",0,0,1,0,0,0,1,0,0,1,0,1,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","50 - 59","Hombres",2,6,8,7,3,0,4,5,1,2,8,6,2,4
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","50 - 59","Mujeres",1,2,1,0,3,1,1,2,0,0,2,2,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","60 - 69","Hombres",5,6,14,6,3,7,6,7,11,5,5,4,10,12
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","60 - 69","Mujeres",2,4,4,0,3,2,1,1,0,1,4,0,3,3
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","70 - 79","Hombres",10,9,9,10,5,9,8,3,10,5,11,9,11,16
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","70 - 79","Mujeres",5,7,6,3,6,8,6,4,4,4,3,4,8,9
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","80 - 89","Hombres",16,11,19,13,10,12,12,7,12,16,13,9,18,15
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero","80 - 89","Mujeres",16,20,14,10,22,28,15,11,14,13,8,11,17,18
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero",">= 90","Hombres",3,4,9,2,7,4,4,4,5,9,4,5,5,7
"XI. Enfermedades del sistema digestivo (K00 - K93)","Febrero",">= 90","Mujeres",11,10,17,12,16,8,16,16,22,14,17,17,15,19
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","0","Hombres",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","30 - 39","Hombres",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","30 - 39","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","40 - 49","Hombres",3,4,3,4,0,1,2,1,1,0,1,2,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","40 - 49","Mujeres",1,0,3,1,1,1,1,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","50 - 59","Hombres",1,6,4,4,2,5,5,3,3,6,2,3,0,3
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","50 - 59","Mujeres",1,6,1,2,2,0,2,1,3,1,5,1,2,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","60 - 69","Hombres",8,5,7,6,3,8,6,7,4,8,3,5,10,6
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","60 - 69","Mujeres",3,2,2,1,2,4,4,3,3,1,0,3,4,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","70 - 79","Hombres",17,8,7,9,8,12,8,8,7,11,9,7,10,7
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","70 - 79","Mujeres",5,6,5,5,7,5,3,6,6,4,8,2,6,6
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","80 - 89","Hombres",8,17,12,18,20,13,14,18,16,11,18,15,16,13
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo","80 - 89","Mujeres",20,15,21,20,18,19,20,13,27,11,16,17,12,19
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo",">= 90","Hombres",5,3,2,3,7,5,3,7,9,5,8,11,8,10
"XI. Enfermedades del sistema digestivo (K00 - K93)","Marzo",">= 90","Mujeres",4,16,6,8,19,15,12,14,20,10,18,18,16,21
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","30 - 39","Hombres",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","30 - 39","Mujeres",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","40 - 49","Hombres",2,1,5,1,0,2,1,0,1,0,1,0,1,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","40 - 49","Mujeres",1,1,0,1,1,1,0,0,1,0,0,1,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","50 - 59","Hombres",7,7,5,6,6,6,6,2,3,5,4,9,5,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","50 - 59","Mujeres",0,0,2,2,0,0,1,0,1,0,1,2,2,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","60 - 69","Hombres",6,6,4,2,10,8,8,8,4,8,6,4,8,3
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","60 - 69","Mujeres",0,2,0,3,3,2,4,3,4,1,4,1,1,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","70 - 79","Hombres",7,6,11,13,9,13,11,8,8,9,10,9,9,15
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","70 - 79","Mujeres",9,3,9,6,6,7,2,3,3,4,5,5,4,6
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","80 - 89","Hombres",9,13,14,15,12,18,14,19,13,21,9,15,25,22
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril","80 - 89","Mujeres",15,21,17,20,18,20,14,16,16,8,17,23,14,14
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril",">= 90","Hombres",8,6,1,4,5,3,3,10,7,6,7,8,13,7
"XI. Enfermedades del sistema digestivo (K00 - K93)","Abril",">= 90","Mujeres",9,7,9,8,8,8,17,15,23,9,14,19,12,19
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","1 - 9","Mujeres",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","10 - 19","Hombres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","30 - 39","Hombres",0,0,0,0,0,0,0,1,0,0,0,2,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","30 - 39","Mujeres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","40 - 49","Hombres",0,2,1,2,2,3,0,0,2,1,1,1,1,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","40 - 49","Mujeres",3,1,0,1,1,3,0,0,0,0,0,0,0,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","50 - 59","Hombres",7,4,5,5,1,7,0,6,4,5,4,4,4,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","50 - 59","Mujeres",2,3,0,0,2,1,0,1,2,0,1,0,1,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","60 - 69","Hombres",6,7,6,7,6,5,6,3,3,8,7,2,13,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","60 - 69","Mujeres",2,1,1,2,4,2,0,2,4,3,1,4,2,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","70 - 79","Hombres",11,14,8,11,9,5,9,10,9,9,5,10,11,9
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","70 - 79","Mujeres",5,2,4,4,5,3,6,2,3,2,5,3,9,7
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","80 - 89","Hombres",11,12,9,15,10,19,12,11,18,19,14,15,20,13
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo","80 - 89","Mujeres",13,10,13,11,19,14,16,9,17,17,15,10,15,15
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo",">= 90","Hombres",4,4,5,5,3,2,4,5,7,6,5,10,11,11
"XI. Enfermedades del sistema digestivo (K00 - K93)","Mayo",">= 90","Mujeres",14,15,15,11,16,10,18,7,10,14,15,19,18,24
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","0","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","1 - 9","Hombres",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","20 - 29","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","30 - 39","Hombres",0,1,1,0,0,0,0,0,0,0,0,1,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","30 - 39","Mujeres",0,0,1,0,0,1,0,0,0,0,0,0,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","40 - 49","Hombres",1,2,2,2,0,0,1,1,1,1,1,3,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","40 - 49","Mujeres",1,1,0,0,1,0,0,1,1,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","50 - 59","Hombres",5,3,3,7,3,4,3,2,2,4,2,5,7,4
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","50 - 59","Mujeres",0,0,0,3,1,0,2,0,4,0,4,1,2,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","60 - 69","Hombres",6,4,2,3,5,3,3,4,5,4,6,14,3,13
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","60 - 69","Mujeres",0,1,4,4,1,1,2,6,1,3,2,5,0,4
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","70 - 79","Hombres",6,11,12,15,13,4,5,9,14,7,8,6,6,8
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","70 - 79","Mujeres",4,8,10,6,4,3,4,5,4,4,4,6,7,4
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","80 - 89","Hombres",13,12,14,11,12,14,16,10,15,17,17,10,13,13
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio","80 - 89","Mujeres",17,17,14,16,18,20,18,9,14,21,17,19,15,14
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio",">= 90","Hombres",2,0,5,3,2,3,8,2,8,2,2,8,7,11
"XI. Enfermedades del sistema digestivo (K00 - K93)","Junio",">= 90","Mujeres",5,11,12,8,5,9,17,8,15,15,10,16,24,15
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","0","Hombres",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","0","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","1 - 9","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","1 - 9","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","10 - 19","Hombres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","10 - 19","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","20 - 29","Hombres",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","20 - 29","Mujeres",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","30 - 39","Hombres",1,0,0,0,1,1,0,0,2,1,1,0,0,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","30 - 39","Mujeres",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","40 - 49","Hombres",2,1,4,2,3,0,1,0,0,0,4,2,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","40 - 49","Mujeres",0,0,0,0,0,1,0,0,0,0,1,2,1,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","50 - 59","Hombres",5,3,8,3,1,2,4,5,0,4,4,4,5,1
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","50 - 59","Mujeres",0,2,2,0,1,1,1,2,1,0,0,3,0,0
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","60 - 69","Hombres",4,8,7,10,6,7,5,3,5,6,9,10,4,7
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","60 - 69","Mujeres",5,2,3,3,4,2,0,2,1,0,1,0,5,2
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","70 - 79","Hombres",4,5,12,9,9,11,4,11,1,6,12,5,13,15
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","70 - 79","Mujeres",5,8,3,7,5,6,3,0,1,8,5,8,7,6
"XI. Enfermedades del sistema digestivo (K00 - K93)","Julio","80 - 89","Hombres",7,13,9,13,12,15,20,17,20,16,11,14,16,18
